order_id,customer_id,store_id,sales_channel,order_datetime,campaign_id,payment_method,fulfillment_type
OR0068853,CU001833,ST0053,Marketplace,2023-09-20 12:16:00,UNKNOWN,Credit Card,Standard
OR0068854,CU000989,ST0090,Online,2023-11-30 15:00:00,UNKNOWN,Credit Card,Standard
OR0068855,CU015969,ST0040,In-Store,2023-04-21 20:48:00,UNKNOWN,Debit Card,Standard
OR0068856,CU003454,ST0094,In-Store,2024-05-07 18:01:00,UNKNOWN,Credit Card,Standard
OR0068857,CU031749,ST0117,Marketplace,2023-05-18 17:52:00,UNKNOWN,PayPal,Standard
OR0068858,CU002576,ST0025,In-Store,2024-12-22 17:07:00,CA00365,Credit Card,Standard
OR0068859,CU016428,ST0047,Online,2023-01-04 14:00:00,UNKNOWN,Gift Card,Express
OR0068860,CU037151,ONLINE,Online,2023-11-24 11:30:00,UNKNOWN,Cash,Standard
OR0068861,CU044057,ST0034,In-Store,2025-09-02 12:37:00,CA00265,Cash,Pickup
OR0068862,CU023437,ST0030,Online,2025-11-04 09:43:00,UNKNOWN,Cash,Standard
OR0068863,CU049665,ST0094,Marketplace,2024-06-14 15:37:00,UNKNOWN,Credit Card,Standard
OR0068864,CU006282,ST0030,In-Store,2024-07-17 20:05:00,CA00285,Credit Card,Standard
OR0068865,CU043593,ST0083,Mobile App,2024-10-18 19:41:00,UNKNOWN,Cash,Express
OR0068866,CU039921,ST0104,In-Store,2023-10-10 15:38:00,UNKNOWN,Debit Card,Same Day
OR0068867,CU003396,ONLINE,Online,2025-09-20 08:01:00,UNKNOWN,Credit Card,Express
OR0068868,CU043959,ST0041,Online,2025-11-04 14:22:00,UNKNOWN,PayPal,Standard
OR0068869,CU013102,ONLINE,Marketplace,2024-09-19 08:21:00,UNKNOWN,Cash,Express
OR0068870,CU037663,ST0034,In-Store,2023-05-05 19:31:00,CA00103,Gift Card,Standard
OR0068871,CU038654,ST0002,Mobile App,2024-10-19 18:41:00,UNKNOWN,Credit Card,Standard
OR0068872,CU007551,ST0042,In-Store,2024-06-01 13:26:00,UNKNOWN,Cash,Express
OR0068873,CU028419,ST0087,In-Store,2025-06-27 09:00:00,CA00532,Credit Card,Standard
OR0068874,CU033940,ST0090,Mobile App,2023-10-21 17:23:00,UNKNOWN,Credit Card,Standard
OR0068875,CU018834,ST0001,Mobile App,2023-04-14 16:28:00,UNKNOWN,Debit Card,Express
OR0068876,CU044479,ST0102,In-Store,2023-08-13 20:05:00,UNKNOWN,Credit Card,Standard
OR0068877,CU028554,ST0054,Marketplace,2023-10-01 22:44:00,UNKNOWN,Cash,Standard
OR0068878,CU043396,ST0049,Marketplace,2025-01-29 14:21:00,UNKNOWN,Debit Card,Standard
OR0068879,CU032575,ST0009,Mobile App,2023-03-19 09:22:00,UNKNOWN,Credit Card,Standard
OR0068880,CU030259,ST0017,Online,2025-08-09 11:39:00,UNKNOWN,Debit Card,Standard
OR0068881,CU036752,ST0089,Mobile App,2023-08-07 14:11:00,UNKNOWN,Credit Card,Standard
OR0068882,CU020912,ONLINE,Online,2025-01-13 16:56:00,UNKNOWN,PayPal,Express
OR0068883,CU030274,ONLINE,Online,2024-11-17 17:13:00,UNKNOWN,Gift Card,Standard
OR0068884,CU038500,ST0081,In-Store,2025-08-16 09:47:00,UNKNOWN,Debit Card,Standard
OR0068885,CU014678,ONLINE,Online,2025-09-16 11:59:00,UNKNOWN,Credit Card,Express
OR0068886,CU005904,ST0083,Online,2025-07-19 14:32:00,UNKNOWN,Credit Card,Standard
OR0068887,CU007006,ST0071,In-Store,2024-03-06 18:00:00,UNKNOWN,Credit Card,Standard
OR0068888,CU045455,ONLINE,Mobile App,2023-11-24 22:23:00,UNKNOWN,Debit Card,Pickup
OR0068889,CU028477,ST0007,Online,2025-02-17 19:17:00,UNKNOWN,Credit Card,Express
OR0068890,CU007854,ST0092,Online,2025-01-04 19:18:00,UNKNOWN,Credit Card,Standard
OR0068891,CU037697,ST0004,Online,2024-01-16 13:45:00,UNKNOWN,PayPal,Standard
OR0068892,CU014948,ST0065,In-Store,2024-04-10 18:19:00,CA00579,Credit Card,Standard
OR0068893,CU038198,ONLINE,Online,2024-04-29 08:08:00,CA00456,Credit Card,Standard
OR0068894,CU004492,ST0040,In-Store,2023-11-19 08:43:00,UNKNOWN,Credit Card,Standard
OR0068895,CU041332,ONLINE,Online,2025-09-06 17:02:00,UNKNOWN,Debit Card,Standard
OR0068896,CU002738,ST0003,Online,2025-05-30 12:09:00,UNKNOWN,Cash,Pickup
OR0068897,CU012704,ST0096,Marketplace,2024-02-02 10:01:00,UNKNOWN,Credit Card,Standard
OR0068898,CU046432,ST0022,In-Store,2025-06-24 17:11:00,UNKNOWN,Credit Card,Pickup
OR0068899,CU022376,ST0080,In-Store,2023-10-01 10:42:00,UNKNOWN,Debit Card,Express
OR0068900,CU043004,ST0106,Online,2023-03-23 17:27:00,CA00033,PayPal,Standard
OR0068901,CU036332,ST0057,Mobile App,2023-05-07 21:56:00,UNKNOWN,Debit Card,Standard
OR0068902,CU041806,ONLINE,Online,2024-02-19 10:31:00,CA00784,Gift Card,Standard
OR0068903,CU001705,ST0048,In-Store,2025-04-23 22:17:00,CA00221,Debit Card,Pickup
OR0068904,CU029054,ST0114,In-Store,2024-04-03 21:30:00,CA00613,Debit Card,Standard
OR0068905,CU032023,ONLINE,Mobile App,2024-10-13 09:15:00,UNKNOWN,Debit Card,Same Day
OR0068906,CU028079,ST0082,In-Store,2025-02-22 09:53:00,UNKNOWN,Debit Card,Express
OR0068907,CU007277,ST0089,Online,2025-08-10 20:21:00,UNKNOWN,Credit Card,Standard
OR0068908,CU044801,ONLINE,Online,2023-06-17 13:40:00,UNKNOWN,Credit Card,Standard
OR0068909,CU024488,ST0034,Mobile App,2025-10-11 21:19:00,UNKNOWN,Credit Card,Standard
OR0068910,CU017059,ONLINE,Online,2023-12-26 09:00:00,UNKNOWN,Credit Card,Standard
OR0068911,CU036515,ST0115,Mobile App,2025-04-28 09:17:00,UNKNOWN,Cash,Express
OR0068912,CU029694,ST0092,Online,2025-09-18 21:21:00,UNKNOWN,PayPal,Standard
OR0068913,CU037411,ST0105,In-Store,2025-10-17 22:00:00,UNKNOWN,Credit Card,Standard
OR0068914,CU024116,ST0004,Mobile App,2024-09-13 15:14:00,UNKNOWN,Debit Card,Standard
OR0068915,CU028369,ST0120,Marketplace,2023-10-17 16:29:00,CA00831,Credit Card,Express
OR0068916,CU000041,ONLINE,Marketplace,2025-03-24 13:44:00,UNKNOWN,PayPal,Pickup
OR0068917,CU013248,ST0083,Mobile App,2024-04-26 17:21:00,CA00717,PayPal,Standard
OR0068918,CU033189,ST0034,In-Store,2025-02-27 17:10:00,UNKNOWN,PayPal,Standard
OR0068919,CU004257,ST0092,In-Store,2024-04-22 08:57:00,CA00229,Debit Card,Standard
OR0068920,CU020365,ST0067,Mobile App,2024-11-27 19:09:00,UNKNOWN,Credit Card,Pickup
OR0068921,CU036038,ONLINE,Marketplace,2024-08-31 20:25:00,CA00866,Debit Card,Same Day
OR0068922,CU002192,ST0023,In-Store,2024-06-28 20:27:00,UNKNOWN,Debit Card,Express
OR0068923,CU000357,ONLINE,Mobile App,2023-10-18 11:04:00,UNKNOWN,Cash,Pickup
OR0068924,CU031585,ST0068,In-Store,2025-07-18 21:39:00,UNKNOWN,Debit Card,Standard
OR0068925,CU041744,ST0094,Online,2025-01-06 16:04:00,UNKNOWN,Debit Card,Pickup
OR0068926,CU036636,ONLINE,Mobile App,2024-04-18 12:02:00,UNKNOWN,Credit Card,Same Day
OR0068927,CU014461,ONLINE,Online,2023-01-25 08:22:00,UNKNOWN,Credit Card,Standard
OR0068928,CU000788,ST0110,In-Store,2024-10-25 14:08:00,CA00423,Debit Card,Pickup
OR0068929,CU035062,ST0032,In-Store,2024-04-03 12:34:00,CA00016,Credit Card,Express
OR0068930,CU020661,ONLINE,Mobile App,2024-07-21 20:41:00,UNKNOWN,Credit Card,Standard
OR0068931,CU023596,ST0094,Online,2024-03-25 09:25:00,UNKNOWN,Credit Card,Express
OR0068932,CU031885,ONLINE,Mobile App,2023-01-03 09:46:00,UNKNOWN,Credit Card,Pickup
OR0068933,CU048168,ONLINE,Mobile App,2025-04-22 10:32:00,UNKNOWN,Gift Card,Express
OR0068934,CU044285,ST0078,In-Store,2023-11-08 12:50:00,CA00012,PayPal,Pickup
OR0068935,CU043115,ST0043,Online,2023-08-06 21:11:00,UNKNOWN,Cash,Express
OR0068936,CU027150,ONLINE,Marketplace,2024-05-03 14:46:00,CA00686,Debit Card,Standard
OR0068937,CU020371,ST0100,In-Store,2024-05-31 11:44:00,UNKNOWN,Credit Card,Pickup
OR0068938,CU032387,ONLINE,Online,2023-11-07 13:56:00,CA00357,Gift Card,Express
OR0068939,CU024232,ST0004,Online,2023-10-30 14:15:00,UNKNOWN,Debit Card,Standard
OR0068940,CU047994,ST0022,Online,2023-04-23 14:14:00,CA00277,Credit Card,Pickup
OR0068941,CU016255,ST0048,In-Store,2024-07-31 22:48:00,CA00203,Gift Card,Standard
OR0068942,CU027716,ST0105,In-Store,2023-07-21 20:56:00,UNKNOWN,PayPal,Express
OR0068943,CU029540,ST0041,In-Store,2024-03-01 13:03:00,CA00004,Cash,Express
OR0068944,CU047542,ST0024,Mobile App,2025-11-02 22:54:00,CA00559,Credit Card,Express
OR0068945,CU019621,ST0038,In-Store,2025-07-19 11:17:00,CA00390,PayPal,Standard
OR0068946,CU024707,ONLINE,Mobile App,2024-01-24 08:21:00,UNKNOWN,PayPal,Express
OR0068947,CU041977,ST0078,In-Store,2025-09-08 21:23:00,UNKNOWN,Credit Card,Pickup
OR0068948,CU034943,ST0046,In-Store,2023-03-14 11:42:00,UNKNOWN,Credit Card,Pickup
OR0068949,CU028745,ST0092,In-Store,2024-05-05 10:43:00,CA00198,Debit Card,Standard
OR0068950,CU027379,ST0091,Mobile App,2025-06-14 18:41:00,UNKNOWN,Credit Card,Express
OR0068951,CU027366,ONLINE,Online,2024-09-16 13:39:00,UNKNOWN,Cash,Pickup
OR0068952,CU011653,ONLINE,Mobile App,2023-11-17 15:56:00,UNKNOWN,Credit Card,Standard
OR0068953,CU034213,ONLINE,Mobile App,2023-09-25 19:12:00,CA00210,Credit Card,Express
OR0068954,CU012674,ST0019,In-Store,2023-11-29 09:16:00,CA00501,Credit Card,Standard
OR0068955,CU045997,ST0110,Online,2024-10-29 09:46:00,CA00740,Credit Card,Pickup
OR0068956,CU009637,ONLINE,Online,2025-02-27 15:30:00,UNKNOWN,Credit Card,Standard
OR0068957,CU035265,ST0054,Online,2023-10-26 21:59:00,UNKNOWN,PayPal,Pickup
OR0068958,CU024705,ST0065,In-Store,2023-06-04 15:06:00,CA00842,Debit Card,Standard
OR0068959,CU019972,ST0002,Mobile App,2025-08-23 17:35:00,UNKNOWN,Credit Card,Standard
OR0068960,CU034139,ST0062,Online,2025-06-03 18:07:00,UNKNOWN,Credit Card,Pickup
OR0068961,CU037296,ST0018,Online,2024-12-15 12:03:00,UNKNOWN,Debit Card,Standard
OR0068962,CU026523,ST0115,Online,2025-10-28 21:04:00,UNKNOWN,Debit Card,Standard
OR0068963,CU021947,ST0035,In-Store,2025-02-17 21:59:00,UNKNOWN,Credit Card,Standard
OR0068964,CU008220,ONLINE,Online,2023-03-11 21:35:00,CA00629,Gift Card,Express
OR0068965,CU046454,ST0116,Mobile App,2023-11-10 08:24:00,UNKNOWN,Debit Card,Standard
OR0068966,CU038046,ST0120,Mobile App,2024-05-21 19:14:00,UNKNOWN,Cash,Pickup
OR0068967,CU021661,ST0078,Online,2024-06-07 08:34:00,UNKNOWN,Cash,Standard
OR0068968,CU000076,ONLINE,Online,2024-01-27 14:10:00,UNKNOWN,PayPal,Standard
OR0068969,CU045416,ST0118,Online,2025-06-30 16:44:00,CA00348,PayPal,Express
OR0068970,CU024170,ST0055,In-Store,2025-03-25 22:40:00,CA00465,Credit Card,Pickup
OR0068971,CU004984,ST0069,Mobile App,2025-11-19 18:04:00,UNKNOWN,PayPal,Standard
OR0068972,CU024936,ONLINE,Online,2025-03-02 21:41:00,UNKNOWN,Credit Card,Standard
OR0068973,CU024498,ST0041,In-Store,2025-01-30 21:07:00,CA00328,PayPal,Same Day
OR0068974,CU023381,ST0091,Online,2024-01-08 10:25:00,CA00619,Credit Card,Standard
OR0068975,CU013435,ST0098,In-Store,2024-01-13 17:46:00,CA00844,Credit Card,Standard
OR0068976,CU012683,ST0078,Marketplace,2023-06-28 14:34:00,UNKNOWN,Credit Card,Standard
OR0068977,CU034839,ST0086,Mobile App,2025-06-20 18:24:00,UNKNOWN,Credit Card,Standard
OR0068978,CU005623,ST0019,Mobile App,2024-02-04 18:22:00,CA00896,Credit Card,Pickup
OR0068979,CU046609,ONLINE,Online,2025-04-18 09:07:00,UNKNOWN,Cash,Standard
OR0068980,CU003681,ST0118,Marketplace,2025-10-06 12:04:00,UNKNOWN,Gift Card,Express
OR0068981,CU037280,ST0054,In-Store,2024-02-12 17:51:00,CA00421,PayPal,Standard
OR0068982,CU024576,ST0005,In-Store,2023-12-04 16:10:00,UNKNOWN,Cash,Express
OR0068983,CU002365,ST0001,In-Store,2024-09-15 08:41:00,UNKNOWN,PayPal,Standard
OR0068984,CU013865,ST0007,Online,2025-02-17 17:29:00,UNKNOWN,Debit Card,Standard
OR0068985,CU029765,ST0090,Marketplace,2025-01-01 21:21:00,UNKNOWN,Debit Card,Standard
OR0068986,CU021821,ONLINE,Marketplace,2025-12-01 18:25:00,UNKNOWN,Credit Card,Standard
OR0068987,CU036683,ONLINE,Online,2025-02-26 19:47:00,UNKNOWN,Credit Card,Express
OR0068988,CU042598,ST0029,Mobile App,2023-09-19 11:00:00,CA00884,Debit Card,Standard
OR0068989,CU000278,ST0097,Marketplace,2025-05-07 08:23:00,CA00629,Credit Card,Standard
OR0068990,CU038719,ST0021,In-Store,2024-12-17 16:44:00,UNKNOWN,Debit Card,Standard
OR0068991,CU007039,ST0095,In-Store,2024-06-22 08:26:00,UNKNOWN,PayPal,Standard
OR0068992,CU046036,ONLINE,Marketplace,2024-10-02 15:35:00,CA00245,PayPal,Express
OR0068993,CU036499,ST0078,In-Store,2024-09-20 12:56:00,CA00612,PayPal,Standard
OR0068994,CU026094,ST0063,In-Store,2024-06-18 10:58:00,UNKNOWN,Credit Card,Standard
OR0068995,CU002060,ONLINE,Online,2025-03-27 11:37:00,UNKNOWN,Credit Card,Standard
OR0068996,CU041949,ST0047,In-Store,2023-07-08 22:01:00,UNKNOWN,Credit Card,Standard
OR0068997,CU047380,ST0120,In-Store,2024-07-07 12:02:00,CA00885,Credit Card,Express
OR0068998,CU030001,ST0055,In-Store,2025-03-01 15:35:00,UNKNOWN,PayPal,Standard
OR0068999,CU043914,ST0105,In-Store,2024-01-25 12:26:00,CA00693,Cash,Pickup
OR0069000,CU045039,ST0075,Online,2023-04-27 17:47:00,UNKNOWN,Credit Card,Standard
OR0069001,CU040119,ST0093,In-Store,2024-01-05 10:44:00,UNKNOWN,PayPal,Standard
OR0069002,CU011081,ONLINE,Online,2023-10-31 18:02:00,CA00580,Debit Card,Standard
OR0069003,CU004131,ONLINE,Online,2024-09-14 15:36:00,CA00282,Credit Card,Pickup
OR0069004,CU022750,ONLINE,Online,2025-08-03 18:20:00,UNKNOWN,Cash,Standard
OR0069005,CU035004,ONLINE,Online,2025-07-31 19:37:00,CA00208,Debit Card,Pickup
OR0069006,CU004970,ST0049,Marketplace,2024-12-15 08:29:00,CA00074,Cash,Standard
OR0069007,CU004008,ONLINE,Mobile App,2024-04-24 13:39:00,UNKNOWN,Debit Card,Standard
OR0069008,CU019047,ST0116,Online,2024-04-25 11:40:00,UNKNOWN,Cash,Same Day
OR0069009,CU023877,ONLINE,Marketplace,2025-08-15 21:29:00,UNKNOWN,Credit Card,Standard
OR0069010,CU016837,ST0075,Marketplace,2024-12-18 14:09:00,UNKNOWN,Credit Card,Pickup
OR0069011,CU044319,ST0089,Online,2024-10-21 20:59:00,CA00362,Credit Card,Standard
OR0069012,CU014733,ONLINE,Mobile App,2023-11-20 21:00:00,CA00115,Cash,Express
OR0069013,CU036339,ST0057,In-Store,2025-12-19 10:37:00,UNKNOWN,Credit Card,Pickup
OR0069014,CU024675,ST0080,In-Store,2024-12-17 12:27:00,UNKNOWN,PayPal,Pickup
OR0069015,CU007127,ST0081,Online,2025-11-15 09:31:00,UNKNOWN,Credit Card,Standard
OR0069016,CU007748,ST0115,Online,2024-01-16 21:38:00,UNKNOWN,Gift Card,Standard
OR0069017,CU004750,ST0008,Marketplace,2025-09-28 12:19:00,UNKNOWN,Credit Card,Express
OR0069018,CU033940,ST0070,In-Store,2025-10-28 09:49:00,CA00733,Credit Card,Pickup
OR0069019,CU014604,ST0073,Mobile App,2024-02-28 14:37:00,UNKNOWN,PayPal,Express
OR0069020,CU007540,ST0076,In-Store,2024-01-21 21:45:00,UNKNOWN,Cash,Standard
OR0069021,CU034085,ONLINE,Mobile App,2025-04-08 19:50:00,CA00444,Credit Card,Standard
OR0069022,CU046232,ST0112,Mobile App,2023-06-08 10:29:00,UNKNOWN,Debit Card,Standard
OR0069023,CU006395,ST0109,In-Store,2024-02-21 15:01:00,UNKNOWN,Gift Card,Pickup
OR0069024,CU012051,ST0104,Online,2024-06-15 12:29:00,CA00299,Credit Card,Pickup
OR0069025,CU020381,ONLINE,Online,2025-10-09 09:50:00,UNKNOWN,Debit Card,Standard
OR0069026,CU042330,ONLINE,Mobile App,2025-01-23 09:40:00,CA00264,Credit Card,Standard
OR0069027,CU025393,ST0087,Online,2023-08-01 20:24:00,UNKNOWN,PayPal,Express
OR0069028,CU015782,ST0110,In-Store,2023-09-19 08:22:00,UNKNOWN,Cash,Standard
OR0069029,CU012193,ST0031,Online,2025-08-09 15:18:00,UNKNOWN,Debit Card,Express
OR0069030,CU001652,ST0079,Online,2023-08-17 09:47:00,CA00277,Credit Card,Pickup
OR0069031,CU046853,ST0056,In-Store,2025-02-21 15:44:00,UNKNOWN,PayPal,Same Day
OR0069032,CU002155,ST0072,Mobile App,2023-06-12 17:19:00,CA00218,Debit Card,Express
OR0069033,CU035755,ONLINE,Mobile App,2023-08-15 12:21:00,UNKNOWN,PayPal,Pickup
OR0069034,CU044996,ST0047,Mobile App,2024-01-03 08:49:00,UNKNOWN,Credit Card,Standard
OR0069035,CU049616,ST0022,In-Store,2025-10-01 15:09:00,CA00528,Debit Card,Standard
OR0069036,CU042744,ONLINE,Online,2025-09-01 18:55:00,UNKNOWN,Credit Card,Express
OR0069037,CU028492,ST0095,Mobile App,2024-09-30 20:05:00,CA00456,Credit Card,Standard
OR0069038,CU047259,ST0092,Online,2024-04-09 08:46:00,UNKNOWN,Credit Card,Express
OR0069039,CU020984,ST0056,Online,2025-05-18 11:12:00,UNKNOWN,Debit Card,Standard
OR0069040,CU010323,ST0080,In-Store,2024-11-21 10:38:00,CA00790,Gift Card,Express
OR0069041,CU007245,ST0039,In-Store,2023-03-12 09:08:00,CA00006,PayPal,Standard
OR0069042,CU016405,ST0113,Online,2023-04-20 11:14:00,CA00303,Credit Card,Standard
OR0069043,CU015932,ST0050,Marketplace,2024-10-05 13:17:00,CA00403,Credit Card,Express
OR0069044,CU043306,ST0011,Mobile App,2024-11-13 17:14:00,UNKNOWN,Credit Card,Standard
OR0069045,CU040381,ST0047,Mobile App,2025-01-27 18:12:00,CA00209,Debit Card,Pickup
OR0069046,CU041583,ST0072,Online,2025-03-26 08:25:00,UNKNOWN,Debit Card,Standard
OR0069047,CU044159,ONLINE,Online,2025-02-02 15:36:00,UNKNOWN,Credit Card,Same Day
OR0069048,CU019655,ST0035,In-Store,2025-01-20 17:56:00,UNKNOWN,Debit Card,Standard
OR0069049,CU036586,ST0077,In-Store,2024-12-15 11:56:00,CA00186,Credit Card,Standard
OR0069050,CU001180,ONLINE,Online,2025-01-03 17:20:00,UNKNOWN,Debit Card,Express
OR0069051,CU022251,ST0114,Online,2025-07-08 08:47:00,UNKNOWN,PayPal,Standard
OR0069052,CU027470,ST0096,Marketplace,2024-03-24 21:09:00,UNKNOWN,Credit Card,Express
OR0069053,CU019209,ST0015,Online,2024-12-14 18:49:00,UNKNOWN,Credit Card,Pickup
OR0069054,CU016437,ST0021,In-Store,2023-07-13 20:59:00,UNKNOWN,Credit Card,Pickup
OR0069055,CU036170,ST0110,In-Store,2023-11-14 18:11:00,CA00355,PayPal,Express
OR0069056,CU040512,ONLINE,Mobile App,2024-06-27 19:37:00,CA00012,Credit Card,Express
OR0069057,CU014684,ST0066,Marketplace,2025-08-05 16:30:00,UNKNOWN,Debit Card,Express
OR0069058,CU019870,ST0111,In-Store,2023-12-26 15:04:00,UNKNOWN,Debit Card,Standard
OR0069059,CU031036,ONLINE,Online,2025-12-04 11:58:00,UNKNOWN,Debit Card,Standard
OR0069060,CU003817,ONLINE,Mobile App,2024-07-15 14:04:00,UNKNOWN,Credit Card,Same Day
OR0069061,CU048026,ST0014,Mobile App,2023-06-24 21:40:00,UNKNOWN,Debit Card,Express
OR0069062,CU007983,ST0002,In-Store,2023-09-15 17:05:00,UNKNOWN,Credit Card,Standard
OR0069063,CU035958,ST0016,In-Store,2025-09-29 22:05:00,UNKNOWN,Debit Card,Standard
OR0069064,CU033911,ST0004,In-Store,2024-07-23 17:24:00,UNKNOWN,Credit Card,Pickup
OR0069065,CU000143,ST0035,Online,2023-09-30 11:06:00,UNKNOWN,Credit Card,Standard
OR0069066,CU036737,ONLINE,Marketplace,2024-10-05 22:21:00,CA00500,Cash,Standard
OR0069067,CU028472,ONLINE,Online,2023-08-20 11:12:00,UNKNOWN,Debit Card,Standard
OR0069068,CU044066,ST0046,In-Store,2025-10-27 08:11:00,UNKNOWN,Credit Card,Same Day
OR0069069,CU017475,ST0047,In-Store,2024-02-04 12:20:00,UNKNOWN,Credit Card,Express
OR0069070,CU019758,ST0003,Marketplace,2023-09-16 09:36:00,UNKNOWN,Cash,Standard
OR0069071,CU040141,ONLINE,Mobile App,2025-03-12 09:19:00,CA00242,Gift Card,Standard
OR0069072,CU000198,ST0019,In-Store,2025-05-07 10:03:00,UNKNOWN,PayPal,Standard
OR0069073,CU035032,ST0044,Mobile App,2024-11-09 14:02:00,UNKNOWN,Debit Card,Standard
OR0069074,CU045434,ST0067,In-Store,2024-11-27 17:48:00,UNKNOWN,Credit Card,Standard
OR0069075,CU009107,ST0047,Online,2023-08-12 19:18:00,UNKNOWN,Debit Card,Standard
OR0069076,CU039487,ONLINE,Marketplace,2024-04-08 14:46:00,UNKNOWN,Credit Card,Express
OR0069077,CU033934,ST0098,Mobile App,2025-03-30 08:09:00,UNKNOWN,Cash,Standard
OR0069078,CU029502,ST0113,In-Store,2024-01-10 12:14:00,UNKNOWN,Credit Card,Pickup
OR0069079,CU042352,ST0020,Online,2024-03-05 11:49:00,UNKNOWN,Debit Card,Standard
OR0069080,CU011962,ST0078,In-Store,2024-05-09 09:26:00,UNKNOWN,Credit Card,Pickup
OR0069081,CU025658,ST0021,In-Store,2024-05-06 17:18:00,CA00275,Credit Card,Standard
OR0069082,CU027188,ST0084,Mobile App,2025-01-03 21:24:00,UNKNOWN,Debit Card,Express
OR0069083,CU032196,ST0076,Marketplace,2024-11-20 10:42:00,UNKNOWN,Debit Card,Pickup
OR0069084,CU001277,ST0053,Online,2025-06-01 17:30:00,CA00839,Credit Card,Pickup
OR0069085,CU048719,ST0100,In-Store,2025-03-22 09:04:00,UNKNOWN,Debit Card,Same Day
OR0069086,CU035113,ST0096,Online,2023-08-06 11:56:00,UNKNOWN,Debit Card,Standard
OR0069087,CU001295,ST0086,Mobile App,2025-05-10 22:32:00,CA00144,Gift Card,Standard
OR0069088,CU005546,ST0118,In-Store,2024-06-11 11:17:00,CA00178,Credit Card,Express
OR0069089,CU045183,ST0037,Online,2023-06-27 19:54:00,UNKNOWN,Gift Card,Standard
OR0069090,CU021397,ST0111,In-Store,2023-06-17 15:59:00,UNKNOWN,Gift Card,Standard
OR0069091,CU027406,ST0018,Marketplace,2025-09-21 11:42:00,UNKNOWN,Debit Card,Express
OR0069092,CU013807,ST0023,Marketplace,2025-02-25 10:12:00,UNKNOWN,PayPal,Standard
OR0069093,CU020221,ONLINE,Mobile App,2024-06-13 17:52:00,UNKNOWN,PayPal,Standard
OR0069094,CU031195,ST0067,Mobile App,2024-03-12 11:20:00,CA00468,Credit Card,Pickup
OR0069095,CU010856,ST0111,Online,2023-05-26 21:25:00,UNKNOWN,PayPal,Standard
OR0069096,CU007763,ST0023,In-Store,2023-08-01 10:24:00,UNKNOWN,Credit Card,Standard
OR0069097,CU018189,ST0064,Marketplace,2024-09-28 12:52:00,UNKNOWN,Credit Card,Pickup
OR0069098,CU006111,ST0014,In-Store,2024-07-14 18:35:00,UNKNOWN,Credit Card,Standard
OR0069099,CU014426,ST0079,In-Store,2023-01-05 11:35:00,UNKNOWN,Debit Card,Pickup
OR0069100,CU029669,ST0115,In-Store,2024-09-29 20:59:00,UNKNOWN,PayPal,Standard
OR0069101,CU007005,ST0047,Online,2023-11-06 19:41:00,CA00806,Credit Card,Standard
OR0069102,CU013519,ST0097,Mobile App,2024-03-30 12:16:00,CA00267,Credit Card,Pickup
OR0069103,CU022361,ST0097,In-Store,2025-04-06 17:03:00,CA00316,Debit Card,Express
OR0069104,CU032251,ST0003,In-Store,2025-01-27 11:30:00,UNKNOWN,Debit Card,Standard
OR0069105,CU005900,ST0100,In-Store,2023-11-11 12:15:00,UNKNOWN,Credit Card,Express
OR0069106,CU026160,ST0092,In-Store,2025-06-15 22:41:00,CA00812,Gift Card,Express
OR0069107,CU034374,ONLINE,Mobile App,2023-10-25 13:53:00,UNKNOWN,Debit Card,Standard
OR0069108,CU038782,ST0109,In-Store,2025-01-28 11:30:00,UNKNOWN,Credit Card,Standard
OR0069109,CU012878,ONLINE,Mobile App,2023-07-03 14:58:00,CA00306,Cash,Express
OR0069110,CU042929,ONLINE,Marketplace,2024-10-03 08:48:00,CA00159,Debit Card,Same Day
OR0069111,CU005114,ST0020,In-Store,2024-06-04 14:51:00,UNKNOWN,Gift Card,Standard
OR0069112,CU013903,ONLINE,Mobile App,2024-10-14 09:58:00,CA00325,Credit Card,Standard
OR0069113,CU033575,ST0040,In-Store,2025-09-09 15:35:00,UNKNOWN,Debit Card,Standard
OR0069114,CU008670,ST0065,Online,2023-09-25 15:00:00,UNKNOWN,PayPal,Pickup
OR0069115,CU038733,ONLINE,Online,2024-10-16 11:46:00,UNKNOWN,Debit Card,Standard
OR0069116,CU025134,ST0002,Online,2025-01-10 15:44:00,CA00689,Gift Card,Same Day
OR0069117,CU031039,ST0053,In-Store,2024-02-04 11:29:00,CA00035,PayPal,Standard
OR0069118,CU029979,ST0034,Online,2024-07-26 18:05:00,UNKNOWN,PayPal,Express
OR0069119,CU016452,ST0091,Mobile App,2024-12-21 18:47:00,UNKNOWN,PayPal,Express
OR0069120,CU006865,ONLINE,Online,2024-12-03 13:48:00,UNKNOWN,Credit Card,Pickup
OR0069121,CU024251,ST0067,Online,2024-02-07 21:11:00,UNKNOWN,Gift Card,Pickup
OR0069122,CU046288,ST0007,Marketplace,2025-05-14 13:26:00,CA00183,Credit Card,Standard
OR0069123,CU043062,ST0106,Online,2023-11-26 08:11:00,UNKNOWN,Debit Card,Standard
OR0069124,CU001585,ONLINE,Online,2024-09-07 09:16:00,UNKNOWN,Credit Card,Pickup
OR0069125,CU039545,ONLINE,Online,2025-02-12 10:58:00,UNKNOWN,Debit Card,Same Day
OR0069126,CU004659,ST0038,In-Store,2023-07-13 14:40:00,CA00882,PayPal,Express
OR0069127,CU018133,ST0018,In-Store,2024-10-23 13:21:00,UNKNOWN,Credit Card,Standard
